model_name,pair,rows,take_rows,take_rate,baseline_mean_return,baseline_profit_factor,baseline_sharpe,baseline_drawdown,taken_mean_return,taken_profit_factor,taken_sharpe,taken_drawdown,taken_win_rate,skipped_mean_return
gradient_boosting_fallback,BNB-USD-LINK-USD,48,6,0.125,-0.2438571785325053,0.0031287665710050105,-5.69708798214241,0.9999995465188826,-0.3724616435394657,0.0,-1.9606070532739057,0.16621800434872563,0.0,-0.22548511210293953
logistic_regression,BNB-USD-LINK-USD,48,0,0.0,-0.2438571785325053,0.0031287665710050105,-5.69708798214241,0.9999995465188826,0.0,0.0,0.0,0.0,0.0,-0.2438571785325053
gradient_boosting_fallback,BTC-USD-AVAX-USD,22,3,0.13636363636363635,-0.03423445470117623,0.10067758195363039,-3.7372471667640066,0.5354704282647988,-0.012389316405930403,0.538972321748895,-0.44328380061079636,0.0,0.6666666666666666,-0.03768368706358347
logistic_regression,BTC-USD-AVAX-USD,22,9,0.4090909090909091,-0.03423445470117623,0.10067758195363039,-3.7372471667640066,0.5354704282647988,-0.060438676558520595,0.01519873267996519,-5.219813593220441,0.38820988011786695,0.2222222222222222,-0.01609307033839936
gradient_boosting_fallback,BTC-USD-ETH-USD,104,16,0.15384615384615385,-0.04976130722296419,0.13274530898030704,-5.0614961154010745,0.9960615133357772,-0.12427039110615407,0.0,-3.6316688633528664,0.8136913634845937,0.0,-0.036214201062384224
logistic_regression,BTC-USD-ETH-USD,104,17,0.16346153846153846,-0.04976130722296419,0.13274530898030704,-5.0614961154010745,0.9960615133357772,-0.07268199412890712,0.0,-12.08831625056348,0.6942791807569472,0.0,-0.04528255231030867
gradient_boosting_fallback,BTC-USD-LINK-USD,25,6,0.24,-0.16457754698643892,0.011668071717876146,-5.524984856701452,0.9893234946945993,-0.11179025657539965,0.0,-4.750198241846097,0.49778438149147336,0.0,-0.18124721764255658
logistic_regression,BTC-USD-LINK-USD,25,0,0.0,-0.16457754698643892,0.011668071717876146,-5.524984856701452,0.9893234946945993,0.0,0.0,0.0,0.0,0.0,-0.16457754698643892
gradient_boosting_fallback,BTC-USD-SOL-USD,58,12,0.20689655172413793,-0.03915447522071709,0.264675214261344,-4.349021486785462,0.9050928090345831,-0.006933968874185074,0.8363294253817399,-0.273686937849215,0.14343661008438652,0.5,-0.0475598247024211
logistic_regression,BTC-USD-SOL-USD,58,32,0.5517241379310345,-0.03915447522071709,0.264675214261344,-4.349021486785462,0.9050928090345831,-0.04982280386429411,0.1523227117635359,-4.687940099862857,0.8389259433735853,0.125,-0.02602422458246846
gradient_boosting_fallback,BTCUSDT-ETHUSDT,22,0,0.0,-0.029016241218667714,0.0,-16.271230799263893,0.4557740903701061,0.0,0.0,0.0,0.0,0.0,-0.029016241218667714
