pair,strategy_id,strategy_name,family,regime,cost_bucket,status,eligible,reason,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,observations,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,avg_gross_exposure,backtest_mode,has_price_x,has_price_y,has_hedge_ratio,has_beta,has_funding_x,has_funding_y,rank_score,rank
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,ALL,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,1
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,ALL,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,2
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,crisis,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,3
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,crisis,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,4
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,range,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,5
BTC-USD-SOL-USD,2,ZScore + ECM,hybrid,range,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,6
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,ALL,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,7
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,ALL,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,8
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,crisis,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,9
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,crisis,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,10
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,range,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,11
BTC-USD-SOL-USD,4,ECM + Copula + ZScore,hybrid,range,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,12
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,ALL,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,13
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,ALL,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,14
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,crisis,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,15
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,crisis,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,16
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,range,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,17
BTC-USD-SOL-USD,36,Copula + ECM Strategy,hybrid,range,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,10339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,18
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,ALL,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,19
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,ALL,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,20
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,bear,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,21
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,bear,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,22
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,bull,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,23
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,bull,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,24
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,range,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,25
SOL-USD-LINK-USD,2,ZScore + ECM,hybrid,range,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,26
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,ALL,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,27
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,ALL,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,28
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,bear,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,29
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,bear,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,30
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,bull,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,31
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,bull,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,32
SOL-USD-LINK-USD,4,ECM + Copula + ZScore,hybrid,range,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,33
