regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Classic ZScore Mean Reversion,4,0,0.27475819698094606,-1.653936228932204,0.11108284463383351,-0.01791476427995553,-0.07474598274664568,0.05683121846669015,0.07250000000000001,0.0696,0.20120742747553536,0.0348,0.00116,0.9851666666666666,60,4,0
bear,Classic ZScore Mean Reversion,2,0,0.0,-11.352570639610844,0.05206777602531516,-0.031439354091284955,-0.035954027585583914,0.00451467349429896,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bull,Classic ZScore Mean Reversion,2,0,0.3118337550513014,-7.173250809961527,0.049141770512717786,-0.01672718178689414,-0.02440218309252956,0.0076750013056354205,0.00625,0.006,0.00024496481893670574,0.003,0.00010000000000000002,0.9137931034482759,6,2,0
crisis,Classic ZScore Mean Reversion,2,0,0.5584279534142295,-1.6127245080575632,0.12192615462194853,-0.022085452538611272,-0.054204884684460275,0.032119432145849,0.01625,0.015600000000000003,0.027133333333333343,0.007800000000000001,0.00026000000000000003,0.9819059107358263,14,2,0
range,Classic ZScore Mean Reversion,4,0,0.044497033135070245,-1.4719255012774606,0.09410627917646404,-0.022050462399711257,-0.07106408475388781,0.049013622354176556,0.0675,0.0648,0.1730896366441739,0.0324,0.0010800000000000002,0.9808743365533417,56,4,0
