rank,pair_id,asset_x,asset_y,selector_score,candidate_trades_24h,candidate_volume_24h,candidate_oracle_price,fetch_command,request_template_command,sample_size_note,notes
36,sol_render,SOL-USD,RENDER-USD,2.973044,281.0,5716.898,1.552410848,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y RENDER-USD --pair-id sol_render --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y RENDER-USD --pair-id sol_render --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
37,btc_xlm,BTC-USD,XLM-USD,2.967318,250.0,6587.476,0.177704525,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y XLM-USD --pair-id btc_xlm --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y XLM-USD --pair-id btc_xlm --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
38,eth_xlm,ETH-USD,XLM-USD,2.967318,250.0,6587.476,0.177704525,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y XLM-USD --pair-id eth_xlm --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y XLM-USD --pair-id eth_xlm --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
39,sol_xlm,SOL-USD,XLM-USD,2.967318,250.0,6587.476,0.177704525,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y XLM-USD --pair-id sol_xlm --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y XLM-USD --pair-id sol_xlm --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
40,btc_aster,BTC-USD,ASTER-USD,2.942704,301.0,4331.60446,0.62880831,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y ASTER-USD --pair-id btc_aster --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y ASTER-USD --pair-id btc_aster --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
41,eth_aster,ETH-USD,ASTER-USD,2.942704,301.0,4331.60446,0.62880831,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y ASTER-USD --pair-id eth_aster --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y ASTER-USD --pair-id eth_aster --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
42,sol_aster,SOL-USD,ASTER-USD,2.942704,301.0,4331.60446,0.62880831,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y ASTER-USD --pair-id sol_aster --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y ASTER-USD --pair-id sol_aster --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
43,btc_ena,BTC-USD,ENA-USD,2.87839,120.0,11796.6671,0.0788144863,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y ENA-USD --pair-id btc_ena --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y ENA-USD --pair-id btc_ena --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
44,eth_ena,ETH-USD,ENA-USD,2.87839,120.0,11796.6671,0.0788144863,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y ENA-USD --pair-id eth_ena --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y ENA-USD --pair-id eth_ena --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
45,sol_ena,SOL-USD,ENA-USD,2.87839,120.0,11796.6671,0.0788144863,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y ENA-USD --pair-id sol_ena --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y ENA-USD --pair-id sol_ena --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
46,btc_wlfi,BTC-USD,WLFI-USD,2.874313,269.0,3456.2993,0.0576571537,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y WLFI-USD --pair-id btc_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y WLFI-USD --pair-id btc_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
47,eth_wlfi,ETH-USD,WLFI-USD,2.874313,269.0,3456.2993,0.0576571537,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y WLFI-USD --pair-id eth_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y WLFI-USD --pair-id eth_wlfi --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
