run_id,timestamp_utc,open_gaps,pass_gates,critical,high,medium
gap_analysis_2026-06-27_035452Z,2026-06-27_035452Z,4,1,1,2,1
gap_analysis_2026-06-27_035558Z,2026-06-27_035558Z,4,1,1,2,1
gap_analysis_2026-06-27_035642Z,2026-06-27_035642Z,4,1,1,2,1
gap_analysis_2026-06-27_035718Z,2026-06-27_035718Z,4,1,1,2,1
gap_analysis_2026-06-27_041521Z,2026-06-27_041521Z,4,1,1,2,1
gap_analysis_2026-06-27_041556Z,2026-06-27_041556Z,4,1,1,2,1
gap_analysis_2026-06-27_042625Z,2026-06-27_042625Z,4,1,1,2,1
gap_analysis_2026-06-27_042722Z,2026-06-27_042722Z,4,1,1,2,1
gap_analysis_2026-06-27_042948Z,2026-06-27_042948Z,4,1,1,2,1
gap_analysis_2026-06-27_043528Z,2026-06-27_043528Z,4,1,1,2,1
gap_analysis_2026-06-27_045312Z,2026-06-27_045312Z,4,1,1,2,1
gap_analysis_2026-06-27_045544Z,2026-06-27_045544Z,4,1,1,2,1
gap_analysis_2026-06-27_050122Z,2026-06-27_050122Z,4,1,1,2,1
gap_analysis_2026-06-27_050149Z,2026-06-27_050149Z,4,1,1,2,1
gap_analysis_2026-06-27_050329Z,2026-06-27_050329Z,4,1,1,2,1
gap_analysis_2026-06-27_050355Z,2026-06-27_050355Z,4,1,1,2,1
gap_analysis_2026-06-27_050616Z,2026-06-27_050616Z,4,1,1,2,1
gap_analysis_2026-06-27_050642Z,2026-06-27_050642Z,4,1,1,2,1
gap_analysis_2026-06-27_051808Z,2026-06-27_051808Z,4,1,1,2,1
gap_analysis_2026-06-27_051956Z,2026-06-27_051956Z,4,1,1,2,1
gap_analysis_2026-06-27_052320Z,2026-06-27_052320Z,4,1,1,2,1
gap_analysis_2026-06-27_052608Z,2026-06-27_052608Z,4,1,1,2,1
gap_analysis_2026-06-27_053245Z,2026-06-27_053245Z,3,2,0,2,1
gap_analysis_2026-06-27_053513Z,2026-06-27_053513Z,3,2,0,2,1
gap_analysis_2026-06-27_053846Z,2026-06-27_053846Z,2,3,0,2,0
gap_analysis_2026-06-27_191703Z,2026-06-27_191703Z,2,3,0,2,0
gap_analysis_2026-06-27_222115Z,2026-06-27_222115Z,2,3,0,2,0
gap_analysis_2026-06-27_222203Z,2026-06-27_222203Z,2,3,0,2,0
gap_analysis_2026-06-27_222246Z,2026-06-27_222246Z,2,3,0,2,0
gap_analysis_2026-06-27_222324Z,2026-06-27_222324Z,2,3,0,2,0
gap_analysis_2026-06-27_223747Z,2026-06-27_223747Z,2,3,0,2,0
gap_analysis_2026-06-27_223828Z,2026-06-27_223828Z,2,3,0,2,0
gap_analysis_2026-06-27_223909Z,2026-06-27_223909Z,2,3,0,2,0
gap_analysis_2026-06-27_224025Z,2026-06-27_224025Z,2,3,0,2,0
