strategy_id,strategy_name,family,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
20,Dynamic Threshold Model,adaptive,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1020,0.3234844843876641,-1.2764264523271005,0.7180227203369814
17,Proprietary Signal Stack,composite,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1126,0.2835045690309107,-2.2853339034783358,0.6280823188084169
30,Meta Model,ml,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1204,0.26918794374739224,-2.374336828605321,0.622878567102407
15,ML Confidence,ml,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1220,0.25954732512076806,-2.2547142774246054,0.6334590634260455
14,OU Optimal,mean_reversion,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1286,0.2484957696752989,-2.283030721045548,0.6334590634260453
7,Tail Event Reversion,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,1824,0.22204836081935414,-3.581879525364709,0.6639064966044458
16,Profile Match,ml,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,814,0.20970464729720634,-1.3593013052211789,0.4966169519563371
33,Copula Dislocation Ranking Engine,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,3636,0.1898331327900493,-5.16713356337415,0.7770539097951309
37,Pure Copula Portfolio,portfolio,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,3636,0.1898331327900493,-5.16713356337415,0.7770539097951309
35,Copula Divergence Persistence,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,2400,0.18141861729593012,-4.113267773310677,0.6565749598565589
6,Dual Conditional Copula,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,2372,0.17651616967474398,-3.8665787824934514,0.6493160593966848
34,Copula + Regime Strategy,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,2512,0.1649163293897205,-4.15238222411807,0.632083820156074
5,Pure Copula,copula,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,2898,0.13589059623799632,-4.42074339782955,0.7053198798482929
28,Copula Tail Risk Sizing,portfolio,False,False,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,2626,0.13589059623799632,-4.42074339782955,0.7053198798482929
