window,pair_id,asset_x,asset_y,resolution,limit,from_iso,to_iso,request_name,method,url,curl,save_as,import_command,notes
6,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-06-06T09:12:32Z,2026-06-09T20:32:32Z,asset_y_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-06-06T09%3A12%3A32Z&toISO=2026-06-09T20%3A32%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-06-06T09%3A12%3A32Z&toISO=2026-06-09T20%3A32%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_006/LINK-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_006/LINK-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_006/LINK-USD_5MINS_candles.json,Download 5MINS candles for LINK-USD; this supplies price_y.
7,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-06-02T21:52:32Z,2026-06-06T09:12:32Z,asset_x_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-06-02T21%3A52%3A32Z&toISO=2026-06-06T09%3A12%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-06-02T21%3A52%3A32Z&toISO=2026-06-06T09%3A12%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/ETH-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/ETH-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/ETH-USD_5MINS_candles.json,Download 5MINS candles for ETH-USD; this supplies price_x.
7,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-06-02T21:52:32Z,2026-06-06T09:12:32Z,asset_y_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-06-02T21%3A52%3A32Z&toISO=2026-06-06T09%3A12%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-06-02T21%3A52%3A32Z&toISO=2026-06-06T09%3A12%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/LINK-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/LINK-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_007/LINK-USD_5MINS_candles.json,Download 5MINS candles for LINK-USD; this supplies price_y.
8,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-30T10:32:32Z,2026-06-02T21:52:32Z,asset_x_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-30T10%3A32%3A32Z&toISO=2026-06-02T21%3A52%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-30T10%3A32%3A32Z&toISO=2026-06-02T21%3A52%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/ETH-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/ETH-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/ETH-USD_5MINS_candles.json,Download 5MINS candles for ETH-USD; this supplies price_x.
8,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-30T10:32:32Z,2026-06-02T21:52:32Z,asset_y_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-30T10%3A32%3A32Z&toISO=2026-06-02T21%3A52%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-30T10%3A32%3A32Z&toISO=2026-06-02T21%3A52%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/LINK-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/LINK-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_008/LINK-USD_5MINS_candles.json,Download 5MINS candles for LINK-USD; this supplies price_y.
9,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-26T23:12:32Z,2026-05-30T10:32:32Z,asset_x_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-26T23%3A12%3A32Z&toISO=2026-05-30T10%3A32%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-26T23%3A12%3A32Z&toISO=2026-05-30T10%3A32%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/ETH-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/ETH-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/ETH-USD_5MINS_candles.json,Download 5MINS candles for ETH-USD; this supplies price_x.
9,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-26T23:12:32Z,2026-05-30T10:32:32Z,asset_y_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-26T23%3A12%3A32Z&toISO=2026-05-30T10%3A32%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-26T23%3A12%3A32Z&toISO=2026-05-30T10%3A32%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/LINK-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/LINK-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_009/LINK-USD_5MINS_candles.json,Download 5MINS candles for LINK-USD; this supplies price_y.
10,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-23T11:52:32Z,2026-05-26T23:12:32Z,asset_x_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-23T11%3A52%3A32Z&toISO=2026-05-26T23%3A12%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-23T11%3A52%3A32Z&toISO=2026-05-26T23%3A12%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/ETH-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/ETH-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/ETH-USD_5MINS_candles.json,Download 5MINS candles for ETH-USD; this supplies price_x.
10,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-23T11:52:32Z,2026-05-26T23:12:32Z,asset_y_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-23T11%3A52%3A32Z&toISO=2026-05-26T23%3A12%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/LINK-USD?resolution=5MINS&fromISO=2026-05-23T11%3A52%3A32Z&toISO=2026-05-26T23%3A12%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/LINK-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/LINK-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_010/LINK-USD_5MINS_candles.json,Download 5MINS candles for LINK-USD; this supplies price_y.
11,eth_link,ETH-USD,LINK-USD,5MINS,1000,2026-05-20T00:32:32Z,2026-05-23T11:52:32Z,asset_x_candles_5mins,GET,https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-20T00%3A32%3A32Z&toISO=2026-05-23T11%3A52%3A32Z&limit=1000,curl -L 'https://indexer.dydx.trade/v4/candles/perpetualMarkets/ETH-USD?resolution=5MINS&fromISO=2026-05-20T00%3A32%3A32Z&toISO=2026-05-23T11%3A52%3A32Z&limit=1000' -H 'Content-Type: application/json' -o '/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_011/ETH-USD_5MINS_candles.json',/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_011/ETH-USD_5MINS_candles.json,PYTHONPATH=src python3 -m quant_platform.cli import-dydx-candles --json-path /Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/dydx_long_history/eth_link/window_011/ETH-USD_5MINS_candles.json,Download 5MINS candles for ETH-USD; this supplies price_x.
