run_id,timestamp_utc,open_gaps,pass_gates,critical,high,medium
pre_mortem_2026-06-27_035602Z,2026-06-27_035602Z,4,1,1,2,1
pre_mortem_2026-06-27_035646Z,2026-06-27_035646Z,4,1,1,2,1
pre_mortem_2026-06-27_035723Z,2026-06-27_035723Z,4,1,1,2,1
pre_mortem_2026-06-27_041526Z,2026-06-27_041526Z,4,1,1,2,1
pre_mortem_2026-06-27_041602Z,2026-06-27_041602Z,4,1,1,2,1
pre_mortem_2026-06-27_042630Z,2026-06-27_042630Z,4,1,1,2,1
pre_mortem_2026-06-27_042728Z,2026-06-27_042728Z,4,1,1,2,1
pre_mortem_2026-06-27_042954Z,2026-06-27_042954Z,4,1,1,2,1
pre_mortem_2026-06-27_043534Z,2026-06-27_043534Z,4,1,1,2,1
pre_mortem_2026-06-27_045318Z,2026-06-27_045318Z,4,1,1,2,1
pre_mortem_2026-06-27_045550Z,2026-06-27_045550Z,4,1,1,2,1
pre_mortem_2026-06-27_050128Z,2026-06-27_050128Z,4,1,1,2,1
pre_mortem_2026-06-27_050156Z,2026-06-27_050156Z,4,1,1,2,1
pre_mortem_2026-06-27_050335Z,2026-06-27_050335Z,4,1,1,2,1
pre_mortem_2026-06-27_050402Z,2026-06-27_050402Z,4,1,1,2,1
pre_mortem_2026-06-27_050622Z,2026-06-27_050622Z,4,1,1,2,1
pre_mortem_2026-06-27_050649Z,2026-06-27_050649Z,4,1,1,2,1
pre_mortem_2026-06-27_051816Z,2026-06-27_051816Z,4,1,1,2,1
pre_mortem_2026-06-27_052004Z,2026-06-27_052004Z,4,1,1,2,1
pre_mortem_2026-06-27_052328Z,2026-06-27_052328Z,4,1,1,2,1
pre_mortem_2026-06-27_052616Z,2026-06-27_052616Z,4,1,1,2,1
pre_mortem_2026-06-27_053253Z,2026-06-27_053253Z,3,2,0,2,1
pre_mortem_2026-06-27_053522Z,2026-06-27_053522Z,3,2,0,2,1
pre_mortem_2026-06-27_053854Z,2026-06-27_053854Z,2,3,0,2,0
pre_mortem_2026-06-27_191713Z,2026-06-27_191713Z,2,3,0,2,0
pre_mortem_2026-06-27_222123Z,2026-06-27_222123Z,2,3,0,2,0
pre_mortem_2026-06-27_222212Z,2026-06-27_222212Z,2,3,0,2,0
pre_mortem_2026-06-27_222254Z,2026-06-27_222254Z,2,3,0,2,0
pre_mortem_2026-06-27_222332Z,2026-06-27_222332Z,2,3,0,2,0
pre_mortem_2026-06-27_223756Z,2026-06-27_223756Z,2,3,0,2,0
pre_mortem_2026-06-27_223837Z,2026-06-27_223837Z,2,3,0,2,0
pre_mortem_2026-06-27_223918Z,2026-06-27_223918Z,2,3,0,2,0
pre_mortem_2026-06-27_224033Z,2026-06-27_224033Z,2,3,0,2,0
