field,type,example,source,pair
ecm_y_available,bool,True,pair_detail,BTC-USD-LINK-USD
ecm_y_available,bool,True,pair_detail,BTC-USD-SOL-USD
ecm_y_available,bool,True,pair_detail,DOGE-USD-LTC-USD
ecm_y_available,bool,True,pair_detail,DOGE-USD-XRP-USD
ecm_y_available,bool,True,pair_detail,ETH-USD-AVAX-USD
ecm_y_available,bool,True,pair_detail,ETH-USD-LINK-USD
ecm_y_available,bool,True,pair_detail,ETH-USD-SOL-USD
ecm_y_available,bool,True,pair_detail,MATIC-USD-ARB-USD
ecm_y_available,bool,True,pair_detail,SOL-USD-AVAX-USD
ecm_y_available,bool,True,pair_detail,SOL-USD-LINK-USD
exchange,str,dydx,pair_detail,BNB-USD-LINK-USD
exchange,str,dydx,pair_detail,AAVE-USD-UNI-USD
exchange,str,dydx,pair_detail,ARB-USD-OP-USD
exchange,str,dydx,pair_detail,BTC-USD-AVAX-USD
exchange,str,dydx,pair_detail,BTC-USD-ETH-USD
exchange,str,dydx,pair_detail,BTC-USD-LINK-USD
exchange,str,dydx,pair_detail,BTC-USD-SOL-USD
exchange,str,dydx,pair_detail,DOGE-USD-LTC-USD
exchange,str,dydx,pair_detail,DOGE-USD-XRP-USD
exchange,str,dydx,pair_detail,ETH-USD-AVAX-USD
exchange,str,dydx,pair_detail,ETH-USD-LINK-USD
exchange,str,dydx,pair_detail,ETH-USD-SOL-USD
exchange,str,dydx,pair_detail,MATIC-USD-ARB-USD
exchange,str,dydx,pair_detail,SOL-USD-AVAX-USD
exchange,str,dydx,pair_detail,SOL-USD-LINK-USD
hedge_ratio,float,19.81054438074283,pair_detail,BNB-USD-LINK-USD
hedge_ratio,float,-0.48469082900119675,pair_detail,AAVE-USD-UNI-USD
hedge_ratio,float,-0.3772075480560598,pair_detail,ARB-USD-OP-USD
hedge_ratio,float,4190.814595942831,pair_detail,BTC-USD-AVAX-USD
hedge_ratio,float,32.64761424204667,pair_detail,BTC-USD-ETH-USD
hedge_ratio,float,7521.256327627125,pair_detail,BTC-USD-LINK-USD
hedge_ratio,float,767.8135015371658,pair_detail,BTC-USD-SOL-USD
hedge_ratio,float,0.001914031940328,pair_detail,DOGE-USD-LTC-USD
hedge_ratio,float,0.07556832935885925,pair_detail,DOGE-USD-XRP-USD
hedge_ratio,float,167.4900181084699,pair_detail,ETH-USD-AVAX-USD
hedge_ratio,float,231.28418912729623,pair_detail,ETH-USD-LINK-USD
hedge_ratio,float,24.72156161191254,pair_detail,ETH-USD-SOL-USD
hedge_ratio,float,5.26931209519293,pair_detail,MATIC-USD-ARB-USD
hedge_ratio,float,3.289218118705522,pair_detail,SOL-USD-AVAX-USD
hedge_ratio,float,4.867177977241081,pair_detail,SOL-USD-LINK-USD
interval,str,5mins,pair_detail,BNB-USD-LINK-USD
interval,str,5mins,pair_detail,AAVE-USD-UNI-USD
interval,str,5mins,pair_detail,ARB-USD-OP-USD
interval,str,5mins,pair_detail,BTC-USD-AVAX-USD
interval,str,5mins,pair_detail,BTC-USD-ETH-USD
interval,str,5mins,pair_detail,BTC-USD-LINK-USD
interval,str,5mins,pair_detail,BTC-USD-SOL-USD
interval,str,5mins,pair_detail,DOGE-USD-LTC-USD
interval,str,5mins,pair_detail,DOGE-USD-XRP-USD
interval,str,5mins,pair_detail,ETH-USD-AVAX-USD
interval,str,5mins,pair_detail,ETH-USD-LINK-USD
interval,str,5mins,pair_detail,ETH-USD-SOL-USD
interval,str,5mins,pair_detail,MATIC-USD-ARB-USD
interval,str,5mins,pair_detail,SOL-USD-AVAX-USD
interval,str,5mins,pair_detail,SOL-USD-LINK-USD
pair,str,BNB-USD-LINK-USD,pair_detail,BNB-USD-LINK-USD
pair,str,AAVE-USD-UNI-USD,pair_detail,AAVE-USD-UNI-USD
pair,str,ARB-USD-OP-USD,pair_detail,ARB-USD-OP-USD
pair,str,BTC-USD-AVAX-USD,pair_detail,BTC-USD-AVAX-USD
pair,str,BTC-USD-ETH-USD,pair_detail,BTC-USD-ETH-USD
pair,str,BTC-USD-LINK-USD,pair_detail,BTC-USD-LINK-USD
pair,str,BTC-USD-SOL-USD,pair_detail,BTC-USD-SOL-USD
pair,str,DOGE-USD-LTC-USD,pair_detail,DOGE-USD-LTC-USD
pair,str,DOGE-USD-XRP-USD,pair_detail,DOGE-USD-XRP-USD
pair,str,ETH-USD-AVAX-USD,pair_detail,ETH-USD-AVAX-USD
pair,str,ETH-USD-LINK-USD,pair_detail,ETH-USD-LINK-USD
pair,str,ETH-USD-SOL-USD,pair_detail,ETH-USD-SOL-USD
pair,str,MATIC-USD-ARB-USD,pair_detail,MATIC-USD-ARB-USD
pair,str,SOL-USD-AVAX-USD,pair_detail,SOL-USD-AVAX-USD
pair,str,SOL-USD-LINK-USD,pair_detail,SOL-USD-LINK-USD
pair_id,str,BNB-USD_LINK-USD,pair_detail,BNB-USD-LINK-USD
pair_id,str,aave_uni,pair_detail,AAVE-USD-UNI-USD
pair_id,str,arb_op,pair_detail,ARB-USD-OP-USD
pair_id,str,btc_avax,pair_detail,BTC-USD-AVAX-USD
pair_id,str,btc_eth,pair_detail,BTC-USD-ETH-USD
pair_id,str,btc_link,pair_detail,BTC-USD-LINK-USD
pair_id,str,btc_sol,pair_detail,BTC-USD-SOL-USD
pair_id,str,doge_ltc,pair_detail,DOGE-USD-LTC-USD
pair_id,str,doge_xrp,pair_detail,DOGE-USD-XRP-USD
pair_id,str,eth_avax,pair_detail,ETH-USD-AVAX-USD
pair_id,str,eth_link,pair_detail,ETH-USD-LINK-USD
pair_id,str,eth_sol,pair_detail,ETH-USD-SOL-USD
pair_id,str,matic_arb,pair_detail,MATIC-USD-ARB-USD
pair_id,str,sol_avax,pair_detail,SOL-USD-AVAX-USD
pair_id,str,sol_link,pair_detail,SOL-USD-LINK-USD
period,int,91,pair_detail,BNB-USD-LINK-USD
period,int,1000,pair_detail,AAVE-USD-UNI-USD
period,int,1000,pair_detail,ARB-USD-OP-USD
period,int,1000,pair_detail,BTC-USD-AVAX-USD
period,int,150,pair_detail,BTC-USD-ETH-USD
period,int,23999,pair_detail,BTC-USD-LINK-USD
period,int,12000,pair_detail,BTC-USD-SOL-USD
period,int,1000,pair_detail,DOGE-USD-LTC-USD
period,int,1000,pair_detail,DOGE-USD-XRP-USD
period,int,1000,pair_detail,ETH-USD-AVAX-USD
period,int,1000,pair_detail,ETH-USD-LINK-USD
period,int,12000,pair_detail,ETH-USD-SOL-USD
period,int,1000,pair_detail,MATIC-USD-ARB-USD
period,int,1000,pair_detail,SOL-USD-AVAX-USD
period,int,1000,pair_detail,SOL-USD-LINK-USD
strategy_mode,str,static,pair_detail,BNB-USD-LINK-USD
strategy_mode,str,static,pair_detail,AAVE-USD-UNI-USD
strategy_mode,str,static,pair_detail,ARB-USD-OP-USD
strategy_mode,str,static,pair_detail,BTC-USD-AVAX-USD
strategy_mode,str,static,pair_detail,BTC-USD-ETH-USD
strategy_mode,str,static,pair_detail,BTC-USD-LINK-USD
strategy_mode,str,static,pair_detail,BTC-USD-SOL-USD
strategy_mode,str,static,pair_detail,DOGE-USD-LTC-USD
strategy_mode,str,static,pair_detail,DOGE-USD-XRP-USD
strategy_mode,str,static,pair_detail,ETH-USD-AVAX-USD
strategy_mode,str,static,pair_detail,ETH-USD-LINK-USD
strategy_mode,str,static,pair_detail,ETH-USD-SOL-USD
strategy_mode,str,static,pair_detail,MATIC-USD-ARB-USD
strategy_mode,str,static,pair_detail,SOL-USD-AVAX-USD
strategy_mode,str,static,pair_detail,SOL-USD-LINK-USD
