pair,regime,observations,observation_share
BTC-USD-PENGU-USD,bear,21,0.0525
BTC-USD-PENGU-USD,bull,11,0.0275
BTC-USD-PEPE-USD,range,100,1.0
BTC-USD-POL-USD,range,714,0.714
BTC-USD-POL-USD,bull,139,0.139
BTC-USD-POL-USD,bear,104,0.104
BTC-USD-POL-USD,crisis,43,0.043
BTC-USD-PUMP-USD,range,827,0.827
BTC-USD-PUMP-USD,bull,90,0.09
BTC-USD-PUMP-USD,bear,81,0.081
BTC-USD-PUMP-USD,crisis,2,0.002
BTC-USD-RENDER-USD,range,480,0.48
BTC-USD-RENDER-USD,bear,211,0.211
BTC-USD-RENDER-USD,bull,197,0.197
BTC-USD-RENDER-USD,crisis,112,0.112
BTC-USD-SEI-USD,range,969,0.969
BTC-USD-SEI-USD,bear,28,0.028
BTC-USD-SEI-USD,bull,3,0.003
BTC-USD-SHIB-USD,range,761,0.761
BTC-USD-SHIB-USD,bull,116,0.116
BTC-USD-SHIB-USD,bear,107,0.107
BTC-USD-SHIB-USD,crisis,16,0.016
BTC-USD-SOL-USD,range,200,1.0
BTC-USD-SOL-USD,range,10339,0.8615833333333334
BTC-USD-SOL-USD,crisis,1658,0.13816666666666666
BTC-USD-SOL-USD,bear,3,0.00025
BTCUSDT-SOLUSDT,bull,433,0.433
BTCUSDT-SOLUSDT,bear,309,0.309
BTCUSDT-SOLUSDT,range,155,0.155
BTCUSDT-SOLUSDT,crisis,103,0.103
BTCUSDT-SOLUSDT,range,956,0.956
BTCUSDT-SOLUSDT,bear,32,0.032
BTCUSDT-SOLUSDT,bull,12,0.012
BTC-USD-SOL-USD,bear,164,0.3273453093812375
BTC-USD-SOL-USD,bull,160,0.3193612774451098
BTC-USD-SOL-USD,range,107,0.21357285429141717
BTC-USD-SOL-USD,crisis,70,0.13972055888223553
BTC-USD-SOL-USD,range,4718,0.9359254116246777
BTC-USD-SOL-USD,crisis,300,0.05951200158698671
BTC-USD-SOL-USD,bull,12,0.0023804800634794686
BTC-USD-SOL-USD,bear,11,0.0021821067248561795
BTC-USD-SUI-USD,range,100,1.0
BTC-USD-TAO-USD,range,337,0.337
BTC-USD-TAO-USD,bull,261,0.261
BTC-USD-TAO-USD,bear,254,0.254
BTC-USD-TAO-USD,crisis,148,0.148
BTC-USD-TIA-USD,range,854,0.854
BTC-USD-TIA-USD,bear,66,0.066
BTC-USD-TIA-USD,bull,51,0.051
BTC-USD-TIA-USD,crisis,29,0.029
BTC-USD-TRUMP-USD,range,748,0.748
BTC-USD-TRUMP-USD,bear,127,0.127
BTC-USD-TRUMP-USD,bull,100,0.1
BTC-USD-TRUMP-USD,crisis,25,0.025
BTC-USD-TRX-USD,range,592,0.592
BTC-USD-TRX-USD,bull,152,0.152
BTC-USD-TRX-USD,bear,149,0.149
BTC-USD-TRX-USD,crisis,107,0.107
BTC-USD-WLD-USD,range,899,0.899
BTC-USD-WLD-USD,bear,51,0.051
BTC-USD-WLD-USD,bull,49,0.049
BTC-USD-WLD-USD,crisis,1,0.001
BTC-USD-WLFI-USD,range,965,0.965
BTC-USD-WLFI-USD,bear,28,0.028
BTC-USD-WLFI-USD,bull,7,0.007
BTC-USD-XLM-USD,range,815,0.815
BTC-USD-XLM-USD,bull,96,0.096
BTC-USD-XLM-USD,bear,55,0.055
BTC-USD-XLM-USD,crisis,34,0.034
DOGE-USD-LTC-USD,bear,384,0.384
DOGE-USD-LTC-USD,bull,366,0.366
DOGE-USD-LTC-USD,crisis,141,0.141
DOGE-USD-LTC-USD,range,109,0.109
DOGE-USD-XRP-USD,bear,346,0.346
DOGE-USD-XRP-USD,bull,340,0.34
DOGE-USD-XRP-USD,range,164,0.164
DOGE-USD-XRP-USD,crisis,150,0.15
ETH-USD-ADA-USD,range,100,1.0
ETH-USD-ALGO-USD,range,99,0.495
ETH-USD-ALGO-USD,bear,52,0.26
ETH-USD-ALGO-USD,bull,48,0.24
ETH-USD-ALGO-USD,crisis,1,0.005
ETH-USD-APE-USD,range,100,1.0
ETH-USD-APT-USD,range,156,0.78
ETH-USD-APT-USD,bull,25,0.125
ETH-USD-APT-USD,bear,19,0.095
ETH-USD-ALGO-USD,range,344,0.86
ETH-USD-ALGO-USD,bear,32,0.08
ETH-USD-ALGO-USD,bull,24,0.06
ETH-USD-ASTER-USD,range,915,0.915
ETH-USD-ASTER-USD,bear,40,0.04
ETH-USD-ASTER-USD,crisis,33,0.033
ETH-USD-ASTER-USD,bull,12,0.012
ETH-USD-AVAX-USD,range,598,0.598
ETH-USD-AVAX-USD,bear,155,0.155
ETH-USD-AVAX-USD,crisis,143,0.143
ETH-USD-AVAX-USD,bull,104,0.104
ETH-USD-BCH-USD,range,896,0.896
ETH-USD-BCH-USD,bear,40,0.04
ETH-USD-BCH-USD,crisis,37,0.037
ETH-USD-BCH-USD,bull,27,0.027
ETH-USD-BNB-USD,range,140,0.7
ETH-USD-BNB-USD,bear,31,0.155
ETH-USD-BNB-USD,bull,29,0.145
ETH-USD-BNB-USD,range,337,0.8425
ETH-USD-BNB-USD,bear,37,0.0925
ETH-USD-BNB-USD,bull,26,0.065
ETH-USD-BONK-USD,range,98,1.0
ETH-USD-DOT-USD,range,100,1.0
ETH-USD-ENA-USD,range,556,0.556
ETH-USD-ENA-USD,bull,181,0.181
ETH-USD-ENA-USD,bear,171,0.171
ETH-USD-ENA-USD,crisis,92,0.092
ETH-USD-ENA-USD,range,454,0.908
ETH-USD-ENA-USD,bear,32,0.064
ETH-USD-ENA-USD,bull,14,0.028
ETH-USD-ETC-USD,range,99,1.0
ETH-USD-HBAR-USD,range,360,0.36
ETH-USD-HBAR-USD,bull,345,0.345
ETH-USD-HBAR-USD,bear,184,0.184
ETH-USD-HBAR-USD,crisis,111,0.111
ETH-USD-HYPE-USD,range,915,0.915
ETH-USD-HYPE-USD,bear,56,0.056
ETH-USD-HYPE-USD,bull,29,0.029
ETH-USD-ICP-USD,range,847,0.847
ETH-USD-ICP-USD,crisis,76,0.076
ETH-USD-ICP-USD,bear,39,0.039
ETH-USD-ICP-USD,bull,38,0.038
ETH-USD-INJ-USD,bull,59,0.59
ETH-USD-INJ-USD,bear,24,0.24
ETH-USD-INJ-USD,crisis,15,0.15
ETH-USD-INJ-USD,range,2,0.02
ETH-USD-JUP-USD,range,100,1.0
ETH-USD-LINK-USD,bull,313,0.313
ETH-USD-LINK-USD,bear,312,0.312
ETH-USD-LINK-USD,range,226,0.226
ETH-USD-LINK-USD,crisis,149,0.149
ETH-USD-LINK-USD,bull,20405,0.3411180581095991
ETH-USD-LINK-USD,bear,19826,0.3314386973820589
