trade_id,pair,strategy_id,strategy_name,family,backtest_mode,entry_timestamp,exit_timestamp,entry_bar_index,exit_bar_index,trade_bars,signal_side,label_profitable,realized_return,gross_trade_return,trade_cost_drag,entry_zscore,entry_abs_zscore,zscore_change_1,zscore_change_3,spread_level,spread_change_1,spread_change_3,spread_vol_12,spread_vol_48,hedge_ratio,hedge_ratio_stability,beta,realized_volatility_percentile,cvar,var,tail_dependence,crisis_probability,liquidity_score,bid_ask_spread_bps,slippage_bps,volume_x_usd,volume_y_usd,funding_x_bps,funding_y_bps,funding_diff_bps,funding_abs_total_bps,funding_bps_per_day,regime,regime_strategy_match,cointegration_pvalue,ecm_strength,ecm_x,ecm_y,half_life,hurst,conditional_probability_distortion,copula_calibration_score,u1_given_u2,u2_given_u1,composite_score,ml_confidence,profile_match,ou_optimal
BTCUSDT-ETHUSDT|29|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,29,Copula Risk Filter,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.03871594872200876,-0.029003448722009162,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
ETHUSDT-SOLUSDT|6|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,6,Dual Conditional Copula,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.644810185749296,-0.6262176857492965,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304403,1.0,0.092,225.5558,149.57899999999998,0.48117713074975527,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829012,0.12302928104801904,0.0,0.0,68.96756393652842,0.4975,-0.41775191203534157,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
BTCUSDT-SOLUSDT|5|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,5,Pure Copula,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.5762697886559607,-0.566557288655961,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.12480000000000001,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.23931198490925454,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.19881328127451914,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
BTCUSDT-SOLUSDT|3|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,3,ZScore + Copula,hybrid,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.48705118039949646,-0.4773386803994968,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.12480000000000001,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.23931198490925454,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.19881328127451914,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
BTCUSDT-SOLUSDT|1|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,1,Classic ZScore Mean Reversion,zscore,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.48705118039949646,-0.4773386803994968,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.12480000000000001,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.23931198490925454,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.19881328127451914,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
BTCUSDT-ETHUSDT|7|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,7,Tail Event Reversion,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.03807541527025335,-0.028362915270253752,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
BTCUSDT-ETHUSDT|6|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,6,Dual Conditional Copula,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.03871594872200876,-0.029003448722009162,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
BTCUSDT-ETHUSDT|5|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,5,Pure Copula,copula,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.03871594872200876,-0.029003448722009162,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
BTCUSDT-ETHUSDT|3|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,3,ZScore + Copula,hybrid,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,1,0.0454993481901487,0.055211848190148294,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
BTCUSDT-ETHUSDT|1|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,1,Classic ZScore Mean Reversion,zscore,two_leg,2023-10-01T00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,1,0.0454993481901487,0.055211848190148294,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.46207818345586377,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538952,0.09022716629758189,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.19958159342711557,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
