combo_name,pair,families,strategies,component_count,total_trades,median_profit_factor,median_sharpe,worst_drawdown,eligible_rows
combo_2way_19,BTC-USD-SOL-USD,copula;hybrid,Copula Risk Filter;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_19,SOL-USD-LINK-USD,copula;hybrid,Copula Risk Filter;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_20,BTC-USD-SOL-USD,copula;mean_reversion,Copula Risk Filter;Hurst Filter,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_20,SOL-USD-LINK-USD,copula;mean_reversion,Copula Risk Filter;Hurst Filter,2,0,0.0,0.0,0.0,0
combo_2way_21,BTC-USD-SOL-USD,copula;ml,Copula Risk Filter;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_21,SOL-USD-LINK-USD,copula;ml,Copula Risk Filter;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_22,BTC-USD-SOL-USD,copula;portfolio,Copula Risk Filter;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_22,SOL-USD-LINK-USD,copula;portfolio,Copula Risk Filter;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_23,BTC-USD-SOL-USD,copula;regime,Copula Risk Filter;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_23,SOL-USD-LINK-USD,copula;regime,Copula Risk Filter;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_24,BTC-USD-SOL-USD,copula;zscore,Copula Risk Filter;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_24,SOL-USD-LINK-USD,copula;zscore,Copula Risk Filter;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_25,BTC-USD-SOL-USD,ecm;hybrid,Pure ECM;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_25,SOL-USD-LINK-USD,ecm;hybrid,Pure ECM;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_26,BTC-USD-SOL-USD,ecm;mean_reversion,Pure ECM;Hurst Filter,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_26,SOL-USD-LINK-USD,ecm;mean_reversion,Pure ECM;Hurst Filter,2,0,0.0,0.0,0.0,0
combo_2way_27,BTC-USD-SOL-USD,ecm;ml,Pure ECM;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_27,SOL-USD-LINK-USD,ecm;ml,Pure ECM;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_28,BTC-USD-SOL-USD,ecm;portfolio,Pure ECM;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_28,SOL-USD-LINK-USD,ecm;portfolio,Pure ECM;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_29,BTC-USD-SOL-USD,ecm;regime,Pure ECM;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_29,SOL-USD-LINK-USD,ecm;regime,Pure ECM;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_30,BTC-USD-SOL-USD,ecm;zscore,Pure ECM;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_30,SOL-USD-LINK-USD,ecm;zscore,Pure ECM;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_31,BTC-USD-SOL-USD,hybrid;mean_reversion,ZScore + ECM;Hurst Filter,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_31,SOL-USD-LINK-USD,hybrid;mean_reversion,ZScore + ECM;Hurst Filter,2,0,0.0,0.0,0.0,0
combo_2way_32,BTC-USD-SOL-USD,hybrid;ml,ZScore + ECM;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_32,SOL-USD-LINK-USD,hybrid;ml,ZScore + ECM;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_33,BTC-USD-SOL-USD,hybrid;portfolio,ZScore + ECM;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_33,SOL-USD-LINK-USD,hybrid;portfolio,ZScore + ECM;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_34,BTC-USD-SOL-USD,hybrid;regime,ZScore + ECM;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_34,SOL-USD-LINK-USD,hybrid;regime,ZScore + ECM;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_35,BTC-USD-SOL-USD,hybrid;zscore,ZScore + ECM;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_35,SOL-USD-LINK-USD,hybrid;zscore,ZScore + ECM;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_36,BTC-USD-SOL-USD,mean_reversion;ml,Hurst Filter;Feature Importance Model,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_36,SOL-USD-LINK-USD,mean_reversion;ml,Hurst Filter;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_37,BTC-USD-SOL-USD,mean_reversion;portfolio,Hurst Filter;Pair Ranking Strategy,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_37,SOL-USD-LINK-USD,mean_reversion;portfolio,Hurst Filter;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_38,BTC-USD-SOL-USD,mean_reversion;regime,Hurst Filter;KMeans Regime Model,2,120,0.1316496890224438,-1.6893738283926283,0.25198594387995527,0
combo_2way_38,SOL-USD-LINK-USD,mean_reversion;regime,Hurst Filter;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_39,BTC-USD-SOL-USD,mean_reversion;zscore,Hurst Filter;Classic ZScore Mean Reversion,2,152,0.20503490001032237,-1.5650664968727113,0.2575112374854235,0
combo_2way_39,SOL-USD-LINK-USD,mean_reversion;zscore,Hurst Filter;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_40,BTC-USD-SOL-USD,ml;portfolio,Feature Importance Model;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_40,SOL-USD-LINK-USD,ml;portfolio,Feature Importance Model;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_41,BTC-USD-SOL-USD,ml;regime,Feature Importance Model;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_41,SOL-USD-LINK-USD,ml;regime,Feature Importance Model;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
