strategy_id,strategy_name,family,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
23,KMeans Regime Model,regime,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,44,0.3747713940836872,-0.800399333204608,0.25198594387995527
21,HMM Regime Model,regime,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,44,0.2822823149902529,-1.229307908228183,0.25388413905247414
22,GMM Regime Model,regime,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,42,0.2723019659802416,-1.2846381992799678,0.25544736811955937
24,Regime Filtered Stat-Arb,regime,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,60,0.25170259624071734,-1.8591581597048914,0.26493833390389177
