pair,asset_x,asset_y,exchange,interval,period,exact_mode,spread_id,strategy_id,mode_valid,mode_source,mode_blocker,sharpe,returns_total,returns_total_pct,discovery_min_sharpe,discovery_min_returns_total,passes_sharpe_gate,passes_sharpe_gt_2,passes_returns_total_gt_20pct,hurst,half_life,pearson,spearman,kendall,copula,corr_copula,u1_given_u2,u2_given_u1,ecm_x_available,ecm_y_available,ecm_strength_available,hedge_ratio,closed_trades,drawdown,source_system,source_path,evidence_path
ETHUSDC-KMNOUSDT,ETHUSDC,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.29,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD/VTHOUSDT,ETHUSD,VTHOUSDT,,,,,,,False,missing,missing_exact_mode,3.26,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSD-VTHOUSDT,ETHUSD,VTHOUSDT,,,,,,,False,missing,missing_exact_mode,3.26,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD/SHIBUSD,ETHUSD,SHIBUSD,,,,,,,False,missing,missing_exact_mode,3.24,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSD-SHIBUSD,ETHUSD,SHIBUSD,,,,,,,False,missing,missing_exact_mode,3.24,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/SHIBUSD,ETHUSDT,SHIBUSD,,,,,,,False,missing,missing_exact_mode,3.22,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDT-SHIBUSD,ETHUSDT,SHIBUSD,,,,,,,False,missing,missing_exact_mode,3.22,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/SHIBUSDT,ETHUSDT,SHIBUSDT,,,,,,,False,missing,missing_exact_mode,3.18,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDT-SHIBUSDT,ETHUSDT,SHIBUSDT,,,,,,,False,missing,missing_exact_mode,3.18,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD/SHIBUSDT,ETHUSD,SHIBUSDT,,,,,,,False,missing,missing_exact_mode,3.15,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
