pair,asset_x,asset_y,exchange,interval,period,exact_mode,spread_id,strategy_id,mode_valid,mode_source,mode_blocker,sharpe,returns_total,returns_total_pct,discovery_min_sharpe,discovery_min_returns_total,passes_sharpe_gate,passes_sharpe_gt_2,passes_returns_total_gt_20pct,hurst,half_life,pearson,spearman,kendall,copula,corr_copula,u1_given_u2,u2_given_u1,ecm_x_available,ecm_y_available,ecm_strength_available,hedge_ratio,closed_trades,drawdown,source_system,source_path,evidence_path
ETHUSDT-GPSUSDT,ETHUSDT,GPSUSDT,,,,,,,False,missing,missing_exact_mode,3.68,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_bybit_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/TRUMPUSDT,ETHUSDT,TRUMPUSDT,,,,,,,False,missing,missing_exact_mode,3.37,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDT-TRUMPUSDT,ETHUSDT,TRUMPUSDT,,,,,,,False,missing,missing_exact_mode,3.37,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/YFIUSDT,ETHUSDT,YFIUSDT,,,,,,,False,missing,missing_exact_mode,3.34,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDC/YFIUSDT,ETHUSDC,YFIUSDT,,,,,,,False,missing,missing_exact_mode,3.34,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDT-YFIUSDT,ETHUSDT,YFIUSDT,,,,,,,False,missing,missing_exact_mode,3.34,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-YFIUSDT,ETHUSDC,YFIUSDT,,,,,,,False,missing,missing_exact_mode,3.34,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/KMNOUSDT,ETHUSDT,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.29,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDC/KMNOUSDT,ETHUSDC,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.29,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHUSDT-KMNOUSDT,ETHUSDT,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.29,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
